alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
0.010284,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.348034
0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.358034
0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.368037
-0.041238,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.378034
-0.183495,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.388035
-0.183495,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.398035
-0.327936,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.408036
-0.442842,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.418036
-0.576042,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.428040
-0.576042,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.438036
-0.670978,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.448037
-0.731121,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.458036
-0.731121,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.468037
-0.785398,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.478037
-0.785398,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.488040
-0.801081,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.498038
-0.801081,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.508039
-0.862998,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.518038
-0.919070,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.528037
-0.987534,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.538039
-1.078673,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.548041
-1.078673,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.558040
-1.170865,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.568039
-1.170865,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.578040
-1.242860,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.588040
-1.328225,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.598042
-1.328225,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.608043
-1.427434,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.618042
-1.509014,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.628039
-1.570796,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.638042
-1.570796,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.648043
-1.570796,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.658044
-1.570796,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.668045
-1.612003,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.678043
-1.612003,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.688043
-1.683691,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.698043
